month_year,card_name,total_money_moved
2023-01,Smeagollum,11627.24
2023-01,S_diego,7875.65
2023-01,-ii,7647.0
2023-01,9003,5161.65
2023-01,Ravenclaw,3558.04
2023-02,-ii,5179.51
2023-02,HMS Warmaiden,5000.06
2023-02,Pattullo,3800.03
2023-02,Pennefather,3513.28
2023-02,El Alto Parana,2720.05
2023-03,-ii,16798.57
2023-03,Varanius,11598.6
2023-03,Sacara,5710.19
2023-03,Mikeswill,5157.72
2023-03,Testlandia,3228.05
2023-04,-ii,15069.57
2023-04,9003,4630.81
2023-04,Morover,4450.21
2023-04,Angelica Pickles,3263.60999999999
2023-04,Northern Lands Islannibady,3258.0
2023-05,Giovanniland,6834.8
2023-05,Pittsburgh Penguins,5455.08
2023-05,Testlandia,3096.65
2023-05,El Alto Parana,2956.01
2023-05,Crazy girl,2280.0
2023-06,Northern Lands Islannibady,2781.19
2023-06,El Alto Parana,2624.01
2023-06,Pittsburgh Penguins,2443.08
2023-06,Ameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerica,2010.0
2023-06,Resource Gold,1992.1
2023-07,Zazquatch,4436.52
2023-07,Pittsburgh Penguins,4215.05
2023-07,9003,4175.51
2023-07,Ameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerica,3940.0
2023-07,El Alto Parana,3424.0
2023-08,Annihilators of Chan Island,15000.5
2023-08,Panagouge,7226.14
2023-08,Pittsburgh Penguins,6250.34
2023-08,9003,5490.3
2023-08,Nuclear West Virginia,4929.98000000001
2023-09,Annihilators of Chan Island,10000.0
2023-09,Chitose Ikeda,5821.26
2023-09,Upper Tuchoim,5676.34
2023-09,El Alto Parana,4292.04
2023-09,The Stalker,3850.12
2023-10,Pittsburgh Penguins,35290.22
2023-10,Annihilators of Chan Island,10023.49
2023-10,Ameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerica,6125.09
2023-10,Chitose Ikeda,4969.97
2023-10,West Teshin,4464.0
2023-11,-ii,11520.0
2023-11,Annihilators of Chan Island,5000.0
2023-11,Youm,4895.92
2023-11,Morover,4500.0
2023-11,Soiled Dove,4234.51
2023-12,Varanius,28197.06
2023-12,Panagouge,15086.36
2023-12,Sacara,13669.04
2023-12,The Stalker,9443.53
2023-12,Smeagollum,8118.31999999992
